"plotLon","plotLat","temp","prec","therm","deficit","moisture","soil","elev"
"122407370010661_ereg_M211",-71.5584,44.6878,-9.162,1229.625,1448.871,331.239,-0.573,"SpodHist",380.105438232422
"122407374010661_ereg_M211",-71.6028,44.4543,-6.968,1052.917,851.741,984.067,-0.639,"SpodHist",474.984893798828
"122407388010661_ereg_M211",-71.8302,44.0718,-2.482,1051.614,1464.727,266.489,0.045,"SpodHist",526.260192871094
"122407390010661_ereg_M211",-71.8713,44.0171,-5.857,1184.198,1700.338,0,0.385,"SpodHist",688.529357910156
"122407392010661_ereg_M211",-72.026,44.1196,-6.842,904.445,946.756,999.852,0.005,"SpodHist",197.04328918457
"122407398010661_ereg_M211",-72.0811,43.7976,0.777,1111.782,700.638,1175.644,0.238,"SpodHist",302.997802734375
"122407402010661_ereg_M211",-72.3325,43.4349,-3.683,1052.548,788.664,1164.762,0.275,"AlfInc",291.470886230469
"122407406010661_ereg_M211",-71.4174,45.1051,-10.57,1138.719,1376.988,332.395,0.149,"SpodHist",511.732482910156
"122407412010661_ereg_221",-71.0854,43.2999,-2.18,1201.48,953.825,1040.618,0.275,"AlfInc",149.327453613281
"122407414010661_ereg_221",-71.0192,43.6762,-1.765,1208.875,368.26,1586.256,-0.119,"SpodHist",230.820327758789
"122407420010661_ereg_M211",-71.0969,44.5371,-7.42,1097.136,304.462,1544.311,0.149,"SpodHist",414.748626708984
"122407422010661_ereg_M211",-71.2696,44.3442,-8.965,1705.075,1297.33,0,0.307,"SpodHist",942.277526855469
"122407424010661_ereg_M211",-71.3072,44.1623,-6.39,1464.586,1527.28,0,0.439,"SpodHist",800.465148925781
"122407428010661_ereg_M211",-71.3957,44.1604,-7.115,1337.355,1474.195,0,0.514,"SpodHist",668.437622070312
"122407434010661_ereg_M211",-71.3645,45.1928,-8.867,1212.881,1288.275,298.847,0.055,"SpodHist",584.908264160156
"122407436010661_ereg_M211",-71.3557,44.7429,-12.015,1394.115,1393.887,0,0.472,"SpodHist",724.755065917969
"122407442010661_ereg_M211",-72.0195,43.8481,-2.977,1248.341,838.703,863.584,0.181,"SpodHist",634.954345703125
"122407444010661_ereg_M211",-72.1933,43.5642,-4.575,1109.973,901.447,888.773,0,"SpodHist",413.586730957031
"122407454010661_ereg_M211",-71.8689,43.0776,-2.94,1204.93,704.102,1228.251,0.233,"SpodHist",401.855804443359
"122407458010661_ereg_M211",-71.1231,45.0075,-8.172,1139.554,1314.31,259.855,0.215,"SpodHist",513.657836914062
"122407466010661_ereg_221",-71.1272,43.5212,-1.752,1245.602,310.741,1543.078,0.127,"SpodHist",351.131744384766
"122555859010661_ereg_221",-71.9606,41.5558,2.782,1299.484,899.717,1422.726,0.45,"AlfInc",65.742073059082
"122555879010661_ereg_221",-71.9751,41.7983,2.123,1270.929,829.768,1351.292,0.41,"AlfInc",104.640525817871
"122555883010661_ereg_221",-71.8934,41.6906,2.613,1272.73,587.991,1761.195,0.576,"AlfInc",79.4874038696289
"122555891010661_ereg_221",-72.0755,41.6817,2.982,1259.666,869.791,1378.481,0,"AlfInc",133.608627319336
"122555909010661_ereg_221",-72.223,41.4437,3.42,1334.352,930.517,1402.078,0.122,"AlfInc",52.505786895752
"122555911010661_ereg_221",-72.2686,41.3839,3.628,1280.226,1225.424,1035.143,0.162,"AlfInc",83.1429672241211
"122555913010661_ereg_221",-72.3628,41.3688,3.225,1259.417,820.596,1343.419,0.337,"AlfInc",15.1034641265869
"122555921010661_ereg_221",-72.2455,41.9852,0.373,1270.271,1790.228,306.01,0.335,"AlfInc",251.657791137695
"122555927010661_ereg_221",-72.3193,41.8522,-0.62,1265.211,544.616,1699.82,-0.073,"AlfInc",168.45703125
"122555929010661_ereg_221",-72.2214,41.7661,2.275,1265.787,555.275,1690.613,0.067,"AlfInc",146.633102416992
"122555963010661_ereg_221",-72.5635,41.315,2.688,1267.167,668.636,1681.523,0.37,"AlfInc",53.9562149047852
"122555985010661_ereg_221",-72.7769,41.6455,4.795,1294.833,743.604,2034.671,0.487,"AlfInc",26.3099994659424
"122555999010661_ereg_221",-72.9299,41.452,3.22,1293.099,846.741,1361.102,0.358,"AlfInc",124.460182189941
"122556003010661_ereg_221",-73.0379,41.2854,4.328,1247.042,971.131,1498.426,0.541,"EntVert",29.6799449920654
"122556025010661_ereg_221",-73.068,41.7525,-0.033,1340.563,1164.09,992.96,0.282,"AlfInc",233.2490234375
"122556047010661_ereg_221",-73.4504,41.3314,2.837,1315.172,561.611,1676.267,-0.28,"AlfInc",154.771133422852
"122556049010661_ereg_221",-73.3107,41.2221,2.56,1266.075,644.916,1694.12,0,"AlfInc",74.5382461547852
"122556061010661_ereg_M211",-73.1366,42.0141,-3.265,1363.397,1503.963,260.554,0.482,"AlfInc",474.842468261719
"122556067010661_ereg_221",-73.3507,41.9308,-0.22,1212.996,842.406,1264.893,0.608,"AlfInc",239.82746887207
"122556095010661_ereg_221",-73.3766,41.8894,-0.64,1193.124,842.778,1245.802,-0.242,"AlfInc",355.471160888672
"122556097010661_ereg_221",-73.4969,41.6474,1.775,1225.007,792.588,1369.117,0.261,"AlfInc",132.312728881836
"122556101010661_ereg_221",-72.4723,41.6458,1.115,1273.155,628.053,1658.242,0.518,"AlfInc",154.076080322266
"122556107010661_ereg_221",-73.0236,41.6573,-0.168,1314.285,924.03,1279.661,-0.203,"AlfInc",266.782318115234
"122556111010661_ereg_M211",-73.472,42.0403,-3.325,1391.028,1561.251,282.991,-0.466,"AlfInc",597.350463867188
"122556117010661_ereg_221",-72.0975,41.4084,3.698,1266.503,895.058,1389.062,0.465,"AlfInc",0.710999965667725
"122556119010661_ereg_221",-72.6899,41.2869,4.3,1230.091,918.147,1411.086,0.387,"Others",5.57831859588623
"122556123010661_ereg_221",-73.0724,41.528,3.337,1273.388,620.017,1774.864,0.507,"AlfInc",129.131057739258
"122556125010661_ereg_221",-73.3147,41.4812,2.2,1264.947,581.098,1605.771,-0.264,"AlfInc",148.782943725586
"122556129010661_ereg_221",-72.7337,42.0315,0.198,1222.344,1255.877,1053.907,0.218,"EntVert",93.4274673461914
"122556147010661_ereg_221",-73.2597,41.6028,1.783,1255.586,908.401,1251.429,0.218,"AlfInc",189.500076293945
"122556171010661_ereg_221",-70.0523,42.031,2.565,1102.892,499.256,1594.38,-0.504,"EntVert",34.7293701171875
"122556173010661_ereg_221",-70.0377,41.9729,2.332,1109.079,508.418,1569.021,-0.448,"EntVert",32.6709899902344
"122556183010661_ereg_221",-70.6184,41.4155,4.387,1174.727,489.892,1969.761,-0.245,"EntVert",22.2195892333984
"122556187010661_ereg_221",-70.6908,42.0442,2.698,1292.095,787.814,1388.158,0.006,"EntVert",11.2465705871582
"122556221010661_ereg_221",-70.9234,42.056,2.188,1291.958,600.656,1825.077,-0.033,"AlfInc",27.6422004699707
"122556239010661_ereg_221",-71.0076,41.6916,2.072,1266.923,552.432,1704.297,0.581,"SpodHist",23.4466667175293
"122556247010661_ereg_221",-70.8451,42.6639,0.027,1250.374,581.553,1722.841,0.008,"EntVert",6.03932476043701
"122556297010661_ereg_221",-71.3726,42.438,0.7,1160.582,946.658,1358.145,0,"EntVert",55.5673370361328
"122556301010661_ereg_221",-71.2793,42.2835,1.748,1201.095,1014.209,1363.938,0.434,"Others",45.658763885498
"122556305010661_ereg_221",-71.39,42.1852,-0.023,1229.279,556.785,1781.566,0.557,"EntVert",45.8776016235352
"122556323010661_ereg_221",-71.2685,42.5091,1.063,1204.213,601.678,1799.221,-0.083,"AlfInc",36.950798034668
"122556329010661_ereg_221",-71.5106,42.6866,-0.605,1181.189,1035.808,1038.322,0.321,"AlfInc",55.2690658569336
"122556335010661_ereg_221",-71.3949,42.3685,0.278,1175.965,591.905,1745.114,-0.298,"EntVert",38.7169342041016
"122556341010661_ereg_221",-71.6324,42.3519,0.617,1213.323,895.377,1282.075,-0.343,"EntVert",79.3467712402344
"122556349010661_ereg_221",-71.7466,42.1768,2.015,1230.38,876.256,1473.24,-0.475,"EntVert",165.046127319336
"122556357010661_ereg_221",-71.8214,42.0313,0.557,1238.051,1455.313,634.831,0.11,"Others",152.047912597656
"122556359010661_ereg_221",-71.813,42.0758,1.67,1252.521,1158.664,980.473,0.415,"Others",238.578048706055
"122556361010661_ereg_221",-71.6188,42.6157,-1.18,1190.408,1081.966,1007.279,-0.257,"AlfInc",90.3416137695312
"122556365010661_ereg_221",-71.6475,42.5656,-0.883,1187.663,1093.984,1034.246,-0.306,"AlfInc",118.90843963623
"122556371010661_ereg_M211",-71.8623,42.5461,-2.38,1256.02,493.074,1687.268,0.344,"AlfInc",246.630706787109
"122556381010661_ereg_221",-71.9551,42.3341,-1.805,1250.834,1026.941,930.204,-0.022,"AlfInc",311.589294433594
"122556383010661_ereg_221",-71.9989,42.2931,-0.947,1217.663,1421.527,582.009,0.115,"EntVert",224.012466430664
"122556399010661_ereg_M211",-72.0406,42.5192,-3.297,1196.124,984.449,923.562,-0.377,"SpodHist",351.930297851562
"122556405010661_ereg_221",-72.2196,42.5432,-1.87,1195.223,1329.635,609.579,-0.175,"AlfInc",267.654113769531
"122556417010661_ereg_221",-72.288,42.1962,-0.107,1202.862,1111.282,1021.989,-0.103,"AlfInc",202.668472290039
"122556423010661_ereg_221",-72.3525,42.075,-0.07,1241.968,905.729,1233.382,0.533,"AlfInc",231.688598632812
"122556431010661_ereg_M211",-72.2857,42.6937,-2.203,1201.12,1017.614,937.101,0.215,"SpodHist",251.151718139648
"122556435010661_ereg_M211",-72.2886,42.6234,-1.775,1168.903,430.768,1560.38,-0.127,"AlfInc",208.79035949707
"122556437010661_ereg_221",-72.3484,42.5511,-1.902,1260.153,778.471,1193.064,0.632,"AlfInc",318.487121582031
"122556445010661_ereg_221",-72.4229,42.4878,-1.922,1325.37,1266.059,572.305,0.241,"AlfInc",313.357208251953
"122556465010661_ereg_221",-72.8009,42.2203,-0.315,1257.372,875.205,1225.795,0.055,"SpodHist",362.711486816406
"122556475010661_ereg_M211",-72.6417,42.6966,-2.258,1267.332,778.37,1241.663,0.543,"SpodHist",289.343597412109
"122556481010661_ereg_M211",-72.7561,42.565,-1.957,1232.245,1061.839,847.951,-0.52,"SpodHist",329.811828613281
"122556491010661_ereg_M211",-72.9261,42.2209,-1.735,1367.194,1521.496,266.565,0.208,"SpodHist",426.069000244141
"122556493010661_ereg_221",-72.9623,42.0514,-1.192,1355.825,758.107,1230.14,0.547,"AlfInc",310.083160400391
"122556499010661_ereg_M211",-73.1727,42.1696,-3.91,1238.075,1561.582,272.156,0,"SpodHist",525.289611816406
"122556501010661_ereg_M211",-72.9778,42.7153,-4.365,1282.587,906.553,844.254,0.512,"SpodHist",521.630249023438
"122556505010661_ereg_M211",-73.0718,42.6069,-2.63,1245.697,992.205,961.165,0.512,"SpodHist",624.068725585938
"122556509010661_ereg_M211",-73.1124,42.5475,-1.105,1247.938,792.814,1214.583,-0.007,"SpodHist",557.810546875
"122556517010661_ereg_M211",-73.2109,42.3866,-1.765,1309.153,790.224,1224.909,0.016,"SpodHist",500.138092041016
"122556519010661_ereg_M211",-73.0827,42.3406,-3.065,1297.208,1545.082,274.776,0.327,"SpodHist",443.157897949219
"122556521010661_ereg_M211",-73.0971,42.312,-2.828,1376.225,1018.872,857.389,-0.031,"SpodHist",478.473876953125
"122556527010661_ereg_M211",-73.2938,42.2681,-2.123,1290.431,478.642,1688.646,0.409,"SpodHist",441.462493896484
"122556531010661_ereg_221",-73.3769,42.1125,-1.29,1134.6,498.133,1603.39,-0.297,"AlfInc",217.068923950195
"122556543010661_ereg_M211",-73.3084,42.5304,-2.662,1279.347,736.959,1229.724,1,"AlfInc",506.114166259766
"122556545010661_ereg_M211",-73.3153,42.48,1.177,1278.13,769.966,1158.533,0.326,"AlfInc",456.665100097656
"122556549010661_ereg_221",-70.8085,42.1799,1.1,1285.652,528.563,1660.058,0,"AlfInc",46.7233238220215
"122556553010661_ereg_221",-71.0336,41.7248,1.612,1261.055,562.659,1675.95,0.72,"AlfInc",53.0862846374512
"122556555010661_ereg_221",-70.6506,42.6562,1.695,1213.351,709.477,1197.44,0.091,"Others",46.9732208251953
"122556563010661_ereg_221",-71.5377,42.4596,0.353,1204.81,1447.002,705.177,0.165,"AlfInc",76.5453567504883
"122556565010661_ereg_221",-71.8352,42.5108,-1.6,1277.18,797.198,1256.242,0.106,"AlfInc",276.266693115234
"122556567010661_ereg_221",-71.9159,42.1774,0.295,1260.034,1365.899,662.358,0.258,"AlfInc",227.772964477539
"122556571010661_ereg_221",-72.4045,42.2933,-0.295,1193.2,487.425,1682.61,0.616,"AlfInc",152.038925170898
"122556577010661_ereg_221",-72.8752,42.3507,-1.295,1284.528,1108.02,877.4,0.257,"SpodHist",367.112884521484
"122556579010661_ereg_M211",-72.8353,42.6794,-2.5,1301.195,1076.973,838.378,-0.303,"SpodHist",482.737670898438
"122556581010661_ereg_M211",-73.2117,42.6572,-3.11,1114.266,712.101,1323.62,-0.074,"AlfInc",319.672546386719
"122556595010661_ereg_221",-71.8201,42.5394,-1.845,1241.178,1058.199,1013.388,-0.475,"AlfInc",225.63948059082
"122556603010661_ereg_221",-72.8334,42.4352,-2.435,1315.745,1549.156,266.775,0.034,"SpodHist",432.194580078125
"122556607010661_ereg_M211",-72.9527,42.7322,-3.08,1368.634,1259.654,538.085,0.211,"SpodHist",567.90673828125
"122556629010661_ereg_221",-72.0604,42.1033,-1.015,1266.56,570.077,1813.648,0.296,"Others",245.74397277832
"122556635010661_ereg_221",-72.5092,42.6123,-2.285,1171.475,487.489,1681.248,-0.223,"Others",131.714782714844
"122556639010661_ereg_M211",-72.6532,42.4768,-0.857,1227.482,791.98,1191.064,-0.594,"AlfInc",188.747406005859
"122556641010661_ereg_221",-72.7174,42.3191,-1.658,1194.881,443.992,1602.515,0.071,"AlfInc",112.922401428223
"122556643010661_ereg_M211",-72.9629,42.5314,-3.512,1321.692,1500.529,249.139,-0.558,"SpodHist",585.3330078125
"122556669010661_ereg_221",-71.2977,41.7517,4.052,1228.695,951.863,1478.755,0.199,"EntVert",3.40992832183838
"122556683010661_ereg_221",-71.4524,41.5303,4.085,1258.448,881.398,1461.095,0.536,"AlfInc",32.2791175842285
"122556705010661_ereg_221",-71.5955,41.8953,1.97,1300.115,827.112,1343.807,0.577,"AlfInc",147.686904907227
"122556711010661_ereg_221",-71.6449,41.7796,2.355,1296.62,795.146,1332.581,-0.022,"AlfInc",95.2884902954102
"122556717010661_ereg_221",-71.7311,41.6257,2.398,1297.433,825.68,1368.771,0.264,"AlfInc",115.119812011719
"122556721010661_ereg_221",-71.7161,41.999,1.515,1262.935,1446.545,662.538,0.546,"AlfInc",166.904266357422
"122556729010661_ereg_221",-71.7652,41.564,2.485,1287.2,818.571,1333.656,0.511,"AlfInc",101.399261474609
"122556745010661_ereg_221",-71.586,41.7452,1.508,1274.364,571.126,1696.945,-0.394,"AlfInc",97.6096572875977
"122556749010661_ereg_221",-71.7428,41.7119,1.218,1307.015,777.462,1359.875,-0.187,"AlfInc",154.211654663086
"122556753010661_ereg_221",-71.7754,41.9418,1.32,1287.347,1420.529,660.698,0.459,"AlfInc",185.851913452148
"122556757010661_ereg_221",-71.6475,41.8839,0.2,1326.81,564.982,1664.723,0.089,"AlfInc",170.15690612793
"122556761010661_ereg_221",-71.5546,42.0059,2.65,1267.702,585.737,1796.721,-0.247,"AlfInc",92.9125442504883
"122556763010661_ereg_221",-71.5641,41.9858,1.452,1261.109,860.073,1470.115,0.157,"AlfInc",97.7844772338867
"122556767010661_ereg_221",-71.5899,41.52,2.32,1318.229,582.533,1678.133,-0.208,"EntVert",35.0749015808105
"122556789010661_ereg_221",-71.4101,41.9275,3.425,1252.12,660.113,1932.45,0.205,"AlfInc",55.0410232543945
"122556833010661_ereg_232",-75.38,38.7193,8.652,1147.242,793.033,2084.725,0.675,"Others",15.2311725616455
"122556835010661_ereg_232",-75.4772,38.8157,7.02,1143.261,926.391,1948.332,0.277,"Others",14.7893619537353
"122556839010661_ereg_232",-75.5534,38.7373,6.51,1134.574,894.179,2098.949,0.274,"EntVert",10.3281536102295
"122556883010661_ereg_232",-75.7596,39.5362,5.45,1132.082,842.047,1960.304,0,"Others",14.7977838516235
"122556897010661_ereg_232",-75.2834,38.7117,6.305,1161.114,865.763,1965.183,0.202,"EntVert",11.7570610046387
"122556917010661_ereg_232",-75.577,39.1628,6.73,1151.587,930.149,2036.096,-0.034,"Others",14.0568008422852
"122557001010661_ereg_232",-75.3331,38.1915,9.183,1168.602,1125.605,1789.387,0.701,"Others",11.4840250015259
"122557043010661_ereg_232",-75.9141,38.4162,6.817,1123.563,916.972,1891.646,0.458,"SpodHist",0.135354325175285
"122557081010661_ereg_232",-75.8225,38.6235,7.845,1123.24,609.73,2527.191,0.031,"Others",1.65760052204132
"122557103010661_ereg_232",-75.7924,39.1904,7.565,1145.71,721.047,2179.131,0.683,"Others",20.4043102264404
"122557111010661_ereg_232",-75.9798,39.1531,7.74,1134.716,745.254,2103.437,0.411,"Others",16.4360961914062
"122557125010661_ereg_232",-76.043,38.7002,7.85,1127.867,915.733,2106.09,0.256,"Others",15.4028024673462
"122557141010661_ereg_232",-76.2247,38.4686,6.575,1138.001,897.986,1814.86,-0.141,"Others",0.875901579856873
"122557193010661_ereg_232",-76.6067,38.3349,7.875,1120.603,691.062,2166.463,-0.025,"EntVert",15.3692426681519
"122557221010661_ereg_232",-76.7486,39.0475,7.117,1128.888,642.238,2140.049,0.363,"Others",50.0049133300781
"122557237010661_ereg_232",-76.974,38.5309,8.85,1099.739,1147.054,1795.766,-0.306,"Others",57.0547027587891
"122558169010661_ereg_221",-76.6796,39.6715,5.005,1168.781,832.137,1792.926,-0.282,"AlfInc",190.964111328125
"122558212010661_ereg_232",-77.0156,38.7494,6.35,1066.234,854.051,1859.771,0.219,"Others",0.344435423612595
"122558222010661_ereg_232",-77.0583,38.6495,6.732,1075.046,600.401,2243.338,0.118,"Others",38.1402854919434
"122558224010661_ereg_232",-77.1101,38.6213,6.39,1065.376,1553.288,948.131,0.005,"Others",14.3917217254639
"122558270010661_ereg_221",-76.9738,39.155,6.78,1140.366,642.019,2189.409,0.4,"AlfInc",113.659362792969
"122558284010661_ereg_221",-77.2432,39.012,7.308,1068.448,1311.299,1313.784,0.847,"AlfInc",48.7994995117188
"122558304010661_ereg_221",-77.4118,39.2557,6.655,1059.255,644.48,2232.792,-0.024,"AlfInc",146.823471069336
"122558308010661_ereg_221",-77.3803,39.0738,6.317,1060.578,609.39,2279.561,0.742,"Others",58.9481163024902
"122558320010661_ereg_M221",-77.5251,39.6547,4.177,1149.238,1212.58,1054.4,0.291,"AlfInc",441.803100585938
"122558322010661_ereg_M221",-77.4642,39.5344,3.317,1176.531,433.979,1973.304,0.002,"Others",328.390625
"122558326010661_ereg_M221",-77.5325,39.5975,3.245,1175.469,434.698,2110.863,0.251,"AlfInc",445.818298339844
"122558340010661_ereg_M221",-77.5653,39.6215,3.005,1132.048,431.897,2068.683,-1,"AlfInc",487.5
"122558346010661_ereg_M221",-77.7756,39.5167,7.552,1002.391,1009.752,1664.816,0.603,"AlfInc",120.65064239502
"122558352010661_ereg_M221",-77.997,39.6795,4.558,1057.668,520.938,2126.785,0.353,"AlfInc",246.994995117188
"122558358010661_ereg_M221",-78.4159,39.6258,5.503,939.88,915.267,1512.935,0.125,"AlfInc",199.651138305664
"122558362010661_ereg_M221",-78.5847,39.5417,6.367,920.782,992.547,1612.535,0.289,"AlfInc",188.857666015625
"122558372010661_ereg_M221",-78.9062,39.5227,5.275,961.73,860.375,1684.208,0.185,"AlfInc",280.620056152344
"122558378010661_ereg_M221",-78.9777,39.4889,3.453,972.467,417.574,2029.215,-0.394,"AlfInc",652.390380859375
"122558380010661_ereg_M221",-79.1089,39.5058,3.305,998.079,736.156,1613.135,-0.065,"Others",526.247253417969
"122558382010661_ereg_M221",-79.1453,39.4366,2.775,958.491,762.341,1656.942,0.638,"Others",598.248962402344
"122558392010661_ereg_M221",-79.4131,39.591,-0.075,1218.077,1338.292,953.343,0.632,"AlfInc",708.860046386719
"122558400010661_ereg_M221",-79.478,39.213,1.205,1366.429,1324.049,966.445,0.699,"Others",861.351135253906
"122558404010661_ereg_M221",-79.4472,39.5058,2.84,1271.553,979.345,1227.763,0.033,"Others",787.446350097656
"122558410010661_ereg_232",-76.7605,38.2906,8.317,1112.358,752.281,2244.134,0.323,"Others",11.3475465774536
"122558418010661_ereg_221",-76.6847,39.4171,6.7,1203.508,628.052,2359.406,0.594,"AlfInc",93.453483581543
"122558428010661_ereg_M221",-78.5356,39.6156,3.69,956.325,815.752,1728.618,0.27,"AlfInc",281.741882324219
"122558468010661_ereg_232",-75.724,38.676,8.98,1128.105,485.578,2526.717,0.03,"Others",13.6657094955444
"122558470010661_ereg_232",-75.6736,38.4545,7.378,1141.144,865.192,2204.333,-0.255,"Others",12.2315940856934
"122558518010661_ereg_232",-74.3767,39.8056,5.213,1183.369,821.19,1930.708,-0.286,"Others",47.0106925964355
"122558528010661_ereg_232",-74.4617,39.6551,5.42,1156.365,590.914,2008.1,-0.498,"EntVert",17.7846412658691
"122558546010661_ereg_232",-74.6729,39.3796,7.448,1117.974,694.681,2059.018,-0.506,"Others",14.7918357849121
"122558568010661_ereg_232",-74.2995,40.1945,3.075,1202.236,1052.647,1341.657,-0.006,"EntVert",50.9573440551758
"122558572010661_ereg_232",-74.4576,39.9448,3.692,1198.494,658.338,1767.339,0.663,"SpodHist",52.3165245056152
"122558574010661_ereg_232",-74.4882,39.9453,4.97,1193.322,755.105,1840.509,1,"SpodHist",30.3432083129883
"122558578010661_ereg_232",-74.5516,39.8199,4.56,1191.336,703.81,1813.013,-0.472,"SpodHist",27.7859554290771
"122558588010661_ereg_232",-74.6689,39.4129,7.067,1125.767,972.929,1695.363,-0.507,"SpodHist",12.2977209091187
"122558590010661_ereg_232",-74.7284,39.5422,5.515,1150.426,863.638,1660.408,0.387,"SpodHist",23.9165744781494
"122558592010661_ereg_232",-74.8717,39.5662,6.35,1160.672,818.808,1799.112,0.281,"Others",31.8231391906738
"122558598010661_ereg_232",-74.7626,39.2534,7.273,1120.013,976.157,1632.867,-0.258,"Others",7.52389287948608
"122558600010661_ereg_232",-74.8204,39.2978,5.83,1137.129,841.68,1760.518,-0.136,"Others",5.08690071105957
"122558612010661_ereg_221",-74.2886,41.0787,3.34,1255.318,913.925,1389.121,0.197,"Others",106.588768005371
"122558650010661_ereg_232",-74.5657,40.3537,6.055,1208.08,828.837,2018.591,-0.349,"AlfInc",23.0666084289551
"122559529010661_ereg_232",-75.0872,39.4313,6.185,1099.59,906.446,1894.669,-0.305,"SpodHist",16.0766010284424
"122559533010661_ereg_232",-75.1633,39.331,7.12,1083.788,727.954,2117.754,0.051,"Others",17.6794414520264
"122559535010661_ereg_232",-75.1727,39.37,6.352,1098.025,596.289,1982.803,-0.231,"Others",23.4567928314209
"122559541010661_ereg_221",-74.3557,41.1798,0.152,1404.917,1223.545,910.755,-0.202,"AlfInc",407.411285400391
"122559547010661_ereg_221",-74.1647,41.0484,3.418,1272.988,668.997,1778.501,0.33,"Others",114.09098815918
"122559549010661_ereg_221",-74.3182,40.9524,3.087,1272.027,651.139,1790.857,0.249,"SpodHist",55.1189346313477
"122559555010661_ereg_221",-74.6469,41.0498,2.628,1243.438,606.272,1727.715,0.144,"Others",270.544799804688
"122559561010661_ereg_221",-74.5168,40.792,3.355,1304.738,1415.149,971.04,-0.494,"AlfInc",128.471282958984
"122559577010661_ereg_221",-74.9231,40.6241,3.4,1231.471,676.515,1958.142,0.49,"Others",80.3070755004883
"122559579010661_ereg_221",-74.8189,40.4591,5.8,1229.795,821.125,1961.272,0.456,"AlfInc",54.0613594055176
"122559595010661_ereg_232",-75.0122,39.8729,8.052,1186.746,656.376,2486.817,0.79,"Others",16.1262435913086
"122559619010661_ereg_221",-74.5535,41.2423,2.488,1201.708,1019.87,1438.331,0.486,"SpodHist",118.200912475586
"122559629010661_ereg_221",-74.7487,40.9141,0.725,1282.857,1205.314,937.252,-0.301,"AlfInc",228.082794189453
"122559633010661_ereg_221",-74.831,40.9902,1.807,1218.256,893.803,1421.499,-0.079,"AlfInc",210.323135375977
"122559635010661_ereg_221",-74.8416,40.8116,1.918,1373.749,953.798,1473.159,0.2,"AlfInc",150.31184387207
"122559651010661_ereg_221",-74.8986,40.6951,1.642,1331.886,976.883,1335.59,-0.376,"AlfInc",202.678833007812
"122559673010661_ereg_221",-75.0569,40.9797,0.383,1307.153,1225.807,933.667,-0.017,"AlfInc",268.051330566406
"122559675010661_ereg_221",-75.0588,40.9491,1.045,1226.165,907.503,1349.903,0.643,"AlfInc",121.289253234863
"122559723010661_ereg_221",-74.4445,41.0702,1.515,1342.388,761.764,1287.688,0.275,"AlfInc",256.567932128906
"122559727010661_ereg_221",-74.6074,40.8999,2.492,1307.942,1305.447,1007.511,0.394,"AlfInc",216.78288269043
"122559739010661_ereg_221",-74.8988,41.1526,1.763,1171.662,791.019,1344.368,-0.482,"AlfInc",194.217590332031
"122559793010661_ereg_M221",-78.392,39.361,3.637,1012.709,463.221,2002.744,-0.211,"EntVert",364.816101074219
"122559795010661_ereg_M221",-78.4524,39.4431,3.332,1008.359,434.849,1992.598,-0.095,"AlfInc",427.322021484375
"122559797010661_ereg_M221",-78.5112,39.4236,4.635,1014.012,536.976,2162.374,-0.097,"AlfInc",507.200988769531
"122559799010661_ereg_M221",-78.6307,39.4757,3.325,897.03,517.641,1834.025,-0.123,"AlfInc",208.099517822266
"122559810010661_ereg_M221",-78.5931,39.2403,5.4,939.241,337.983,2449.944,0.451,"AlfInc",416.305389404297
"122559814010661_ereg_M221",-78.7585,39.2447,3.412,1031.457,474.665,1983.882,-0.36,"AlfInc",638.275634765625
"122559816010661_ereg_M221",-78.6868,39.0923,7.113,978.32,670.804,1788.561,-0.056,"AlfInc",599.083679199219
"122559818010661_ereg_M221",-78.7186,39.0177,4.505,1037.08,480.469,2017.676,0.182,"EntVert",547.718872070312
"122559820010661_ereg_M221",-78.7706,38.975,4.857,1063.215,684.25,1831.642,-0.999,"AlfInc",619.847412109375
"122559822010661_ereg_M221",-78.7518,38.9462,3.743,1063.215,465.304,1918.619,0,"AlfInc",685.960632324219
"122559824010661_ereg_M221",-78.8803,39.0307,5.755,1170.055,869.841,1404.745,0.291,"AlfInc",854.868530273438
"122559828010661_ereg_M221",-78.6903,39.3894,4.805,914.608,534.941,2127.816,-0.283,"AlfInc",399.49365234375
"122559832010661_ereg_M221",-78.7097,39.375,4.7,914.608,511.673,2141.275,0.206,"AlfInc",330.390411376953
"122559834010661_ereg_M221",-78.8456,39.461,6.338,891.41,647.528,1960.529,0.27,"AlfInc",300.392486572266
"122559838010661_ereg_M221",-78.8022,39.2216,4.465,1086.785,540.793,2065.152,0.233,"AlfInc",480.301788330078
"122559846010661_ereg_M221",-79.0029,39.1553,5.412,920.987,504.649,1984.736,0.446,"AlfInc",368.295135498047
"122559850010661_ereg_M221",-78.9398,39.085,8.742,838.126,843.886,2084.124,0.295,"Others",269.811828613281
"122559852010661_ereg_M221",-79.0109,39.1244,4.75,907.162,518.071,2108.698,-0.49,"AlfInc",441.654632568359
"122559862010661_ereg_M221",-79.4216,38.8198,4.018,928.908,795.988,1612.3,0.152,"AlfInc",766.79052734375
"122559864010661_ereg_M221",-79.134,38.6618,5.57,1033.61,858.459,1614.008,-0.201,"AlfInc",853.179626464844
"122559876010661_ereg_M221",-79.2047,39.3448,4.588,1099.46,1774.22,405.609,0.058,"Others",698.080322265625
"122559878010661_ereg_M221",-79.0854,39.2698,4.925,950.345,763.2,1409.103,-0.022,"AlfInc",498.144500732422
